title,directors,adaptors,starring,genre,country,release_date,runtime,rate
那天妈妈来看我 那天媽媽來看我,郭春晖,雷孝慈,白冰冰/吴慷仁/王曈/吴震亚/邱安忱/周贤忠,剧情/同性/家庭, 台湾,2013-05-12(台湾),88分钟,8.2
现实之舞 La danza de la realidad,亚历桑德罗·佐杜洛夫斯基,亚历桑德罗·佐杜洛夫斯基,亚历桑德罗·佐杜洛夫斯基/Pamela Flores/Jeremias Herskovits/布隆蒂斯·佐杜洛夫斯基/Bastián Bodenhöfer/亚当·佐杜洛夫斯基/Axel Jodorowsky/Francisco Pizarro Saenz de Urtury/Andres Cox/Felipe Pizarro Sáenz De Urtury/Alisarine Ducolomb,传记, 智利,2013-05-18(戛纳电影节),130分钟,8.4
旧罪的阴影 Poirot: Elephants Can Remember,约翰·史翠兰,阿加莎·克里斯蒂/尼克·迪尔,大卫·苏切特/佐伊·沃纳梅克/凡妮莎·柯比/格列塔·斯卡奇/伊恩·格雷,悬疑/犯罪, 英国,2013-06-09(英国),89分钟,8.1
出路,陈为军,,,, 中国大陆,2013,59分钟,8.9
月光诗篇 Flores Raras,布鲁诺·巴列托,马修·查普曼/Julie Sayres,格劳瑞·皮尔丝/米兰达·奥图/特雷西·米登道夫/Marcello Airoldi/罗拉·科克/Tânia Costa/Marianna Mac Niven/Marcio Ehrlich/特里特·威廉斯/Anna Bella,同性/传记, 巴西,2013-08-09(巴西),118分钟,8.0
寂静人生 Still Life,乌贝托·帕索里尼,乌贝托·帕索里尼,埃迪·马森/琼安·弗洛加特/Karen Drury/安德鲁·巴肯/布隆森·韦伯,剧情, 英国 / 意大利,2013-09-03(威尼斯电影节),87分钟,8.3
狗十三,曹保平,焦华静,张雪迎/果靖霖/智一桐/代旭,剧情/家庭, 中国大陆,2013-10-11(华语青年影像论坛),119分钟,8.0
生命如此美好 Chce Się Żyć,马切伊·佩普日察,马切伊·佩普日察,大卫·奥格尼克/多萝塔·科拉克/阿尔卡迪乌什·雅库比克/海伦娜·萨和卡/Mikolaj Roznerski/Kamil Tkacz/Tymoteusz Marciniak/安娜·内赫雷贝茨卡/Katarzyna Zawadzka/Anna Karczmarczyk/Agnieszka Kotlarska/Janusz Chabior/加布里埃拉·穆斯卡拉/莱赫·德布里克/Dariusz Chojnacki,剧情, 波兰,2013-10-11(波兰),112分钟,8.3
古宅迷踪 Poirot: Dead Man's Folly,汤姆·沃恩,阿加莎·克里斯蒂/尼克·迪尔,大卫·苏切特/佐伊·沃纳梅克/西恩·帕特维/西妮德·库萨克/斯蒂芬妮·列尼达斯,剧情/悬疑/犯罪, 英国,2013-10-30(英国),89分钟,8.2
流浪的尤莱克 Lauf Junge lauf,Pepe Danquart,亨里希·哈丁,赖纳·博克/詹妮特·海因/Sebastian Hülk,剧情, 德国,2013-11-05(科特布斯电影节)/2014-01-10(波兰),,8.3
帷幕：波洛的最后一案 Curtain: Poirot's Last Case,希提·麦克唐纳,阿加莎·克里斯蒂/凯文·埃尔约特,大卫·苏切特/休·弗拉瑟/艾丹·麦克阿德尔/艾丽丝·奥尔尤因/海伦·巴克森代尔,悬疑/犯罪, 英国,2013-11-13(英国),90分钟,9.2
